date,bucket,artist,track,uri
2026-01-11,A_top500_random,The Glitch Mob,Bad Wings,spotify:track:5brviRvO3ZIDvdF0dED9wC
2026-01-11,A_top500_random,Cymbals Eat Guitars,Laramie,spotify:track:5C8eYJ4uncEtyeem7ySUvy
2026-01-11,A_top500_random,Tom Waits,Step Right Up,spotify:track:2w78IVFn0nad1tcG5RHyTx
2026-01-11,A_top500_random,"Jimmy ""Bo"" Horne","Spank - 12 "" Version",spotify:track:1uoFwurhS62GOfTz2AbjYJ
2026-01-11,A_top500_random,Boston,More Than a Feeling,spotify:track:6EQjfk54NVJkA4oZGlwuiM
2026-01-11,B_tewnidge_artist_unheard_not_on_tewnidge,Young Monks,The Flow and the Motion,spotify:track:1LO1a0401qYW3RVpqxdBrB
2026-01-11,B_tewnidge_artist_unheard_not_on_tewnidge,The Tazers,In My Mind,spotify:track:7978WnflcKvQkjHKHLTfQg
2026-01-11,B_tewnidge_artist_unheard_not_on_tewnidge,Juana Molina,Astro de la luz segunda,spotify:track:0zUYD2mxeVt9DvBa7dSbID
2026-01-11,B_tewnidge_artist_unheard_not_on_tewnidge,TNGHT,Im In A Hole,spotify:track:1QHtif8OZI9hzpwaKFg0oh
2026-01-11,B_tewnidge_artist_unheard_not_on_tewnidge,Cinerama,Kings Cross - Acoustic Version,spotify:track:6jGBYg4euNsQeRdfhf1FCu
