query_key,track_uri
the glitch mob|||bad wings,spotify:track:5brviRvO3ZIDvdF0dED9wC
cymbals eat guitars|||laramie,spotify:track:5C8eYJ4uncEtyeem7ySUvy
tom waits|||step right up,spotify:track:2w78IVFn0nad1tcG5RHyTx
"jimmy ""bo"" horne|||spank - 12 "" version",spotify:track:1uoFwurhS62GOfTz2AbjYJ
boston|||more than a feeling,spotify:track:6EQjfk54NVJkA4oZGlwuiM
weezer|||tired of sex,spotify:track:42hDrA9GTkuvpxjLtAshct
tom waits|||singapore,spotify:track:2VY2MJQRFYu0szU1QHNjSu
thee oh sees|||c,spotify:track:4lZjHEJXzKCCTVPtgYcypv
thee oh sees|||contraption/soul desert,spotify:track:0QmB82sogw3EjZEeXLJL52
bruxas|||más profundo,spotify:track:30DWdX9NQEdfJ07vfGReOt
led zeppelin|||kashmir - remaster,spotify:track:6Vjk8MNXpQpi0F4BefdTyq
de lux|||moments,spotify:track:6IOtNd4BUtspMcUNePXmJ9
yin yin|||one inch punch,spotify:track:6BdpQ5lDOUNbaER31ajumE
